track_title,track_id,sc_url,current_lyrics_id,current_lyrics_title_in_SC,CORRECT_SONG_TITLE (for lyrics_id matching correction),SONGS_title_at_current_id,correct_lyrics_id,issue_type
[32] Letter to My Friend (Never Again) • GROWsutra She Wanna Know PsyBass Circus JAZZ,2186767693,https://soundcloud.com/bananasutra/32-letter-to-my-friend-never-again-growsutra-she-wanna-know-psybass-circus-jazz-32,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[01] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE,2186767503,https://soundcloud.com/bananasutra/01-letter-to-my-friend-never-again-growsutra-tzigane-arabesk-soul-peace-fusion-gipsy-indie-1,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[08] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE,2186767548,https://soundcloud.com/bananasutra/08-letter-to-my-friend-never-again-growsutra-tzigane-arabesk-soul-peace-fusion-gipsy-indie-8,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[12] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE,2186767528,https://soundcloud.com/bananasutra/12-letter-to-my-friend-never-again-growsutra-tzigane-arabesk-soul-peace-fusion-gipsy-indie-12,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[15] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE,2186767568,https://soundcloud.com/bananasutra/15-letter-to-my-friend-never-again-growsutra-tzigane-arabesk-soul-peace-fusion-gipsy-indie-15,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[17] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,2186767513,https://soundcloud.com/bananasutra/17-letter-to-my-friend-never-again-gipsy-peace-duende-soul-fusion-indie-lofi-17,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[18] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,2186767583,https://soundcloud.com/bananasutra/18-letter-to-my-friend-never-again-gipsy-peace-duende-soul-fusion-indie-lofi-18,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[19] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,2186767668,https://soundcloud.com/bananasutra/19-letter-to-my-friend-never-again-gipsy-peace-duende-soul-fusion-indie-lofi-19,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[21] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,2186767598,https://soundcloud.com/bananasutra/21-letter-to-my-friend-never-again-gipsy-peace-duende-soul-fusion-indie-lofi-21,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[23] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,2186767688,https://soundcloud.com/bananasutra/23-letter-to-my-friend-never-again-gipsy-peace-duende-soul-fusion-indie-lofi-23,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[27] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop Storyteller LOFI 02,2186767658,https://soundcloud.com/bananasutra/27-letter-to-my-friend-never-again-growsutra-jazzy-hop-storyteller-lofi-02-27,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[31] Letter to My Friend (Never Again) • GROWsutra She Wanna Know PsyBass Circus JAZZ,2186767643,https://soundcloud.com/bananasutra/31-letter-to-my-friend-never-again-growsutra-she-wanna-know-psybass-circus-jazz-31,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[39] Letter to My Friend (Never Again) • GROWsutra PsyDestiny Banjo BLUES,2186767683,https://soundcloud.com/bananasutra/39-letter-to-my-friend-never-again-growsutra-psydestiny-banjo-blues-39,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[26] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,2186767543,https://soundcloud.com/bananasutra/26-letter-to-my-friend-never-again-gipsy-peace-duende-soul-fusion-indie-lofi-26,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
[28] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop Storyteller LOFI 03,2186767553,https://soundcloud.com/bananasutra/28-letter-to-my-friend-never-again-growsutra-jazzy-hop-storyteller-lofi-03-28,L-003,A Letter To My Friend (Never Again),A Letter To My Friend (Never Again),MISSING,,ORPHAN ID
