track_id,track_title,sc_url,in_official_catalog,playlist_id,playlist_title,playlist_url,owner_username,owner_url,playlist_published_at,playlist_last_updated_at,playlist_track_count,playlist_duration_ms,playlist_likes_count,playlist_reposts_count,owner_followers_count,scrape_date,lookup_method
2355493538,[24] So Woken • GROWsutra (Kindness) Psychedelic Destiny Banjo BLUES,https://soundcloud.com/bananasutra/24-so-woken-growsutra-kindness-psychedelic-destiny-banjo-blues-24,No,2189467745,hot🔥,https://soundcloud.com/wivwndoistzc/sets/hot,Даша Квитка,https://soundcloud.com/wivwndoistzc,2026-02-10T20:59:04Z,2026-07-08T10:12:43Z,17,2858770,0,0,0,2026-07-11,direct_api
2355493535,[16] So Woken • GROWsutra (Kindness) Poetry Bridges The DUB,https://soundcloud.com/bananasutra/16-so-woken-growsutra-kindness-poetry-bridges-the-dub-16,No,2042673066,Reggae,https://soundcloud.com/flo-heinrich-497278138/sets/reggae,061Florian,https://soundcloud.com/flo-heinrich-497278138,2025-06-26T17:41:08Z,2026-07-08T12:57:42Z,11,6216821,0,0,7,2026-07-11,direct_api
2355493523,[20] So Woken • GROWsutra (Kindness) Queen Of Authentic Dubby Banjo Folk BLUES,https://soundcloud.com/bananasutra/20-so-woken-growsutra-kindness-queen-of-authentic-dubby-banjo-folk-blues-20,No,2166784673,reggae 🇯🇲🍃,https://soundcloud.com/criazz-fe/sets/reggae,lindo,https://soundcloud.com/criazz-fe,2025-12-30T16:40:53Z,2026-07-08T23:56:37Z,10,2559447,0,0,0,2026-07-11,direct_api
2355493523,[20] So Woken • GROWsutra (Kindness) Queen Of Authentic Dubby Banjo Folk BLUES,https://soundcloud.com/bananasutra/20-so-woken-growsutra-kindness-queen-of-authentic-dubby-banjo-folk-blues-20,No,2264735723,santee,https://soundcloud.com/harvey-tupamahu/sets/santee,Harvey Tupamahu,https://soundcloud.com/harvey-tupamahu,2026-07-08T03:40:43Z,2026-07-08T15:24:08Z,10,1970748,0,0,5,2026-07-11,direct_api
2355493520,[25] So Woken • GROWsutra (Kindness) Psychedelic Destiny Banjo BLUES,https://soundcloud.com/bananasutra/25-so-woken-growsutra-kindness-psychedelic-destiny-banjo-blues-25,No,2249470727,chèr rais,https://soundcloud.com/ayman-elsherbini/sets/cher-rais,Ayman ElSherbini,https://soundcloud.com/ayman-elsherbini,2026-06-07T18:55:21Z,2026-07-11T02:23:21Z,22,39679876,0,0,14,2026-07-11,direct_api
2355493508,[04] So Woken • GROWsutra (Kindness) Acoustic Gipsy Dream World JAZZ,https://soundcloud.com/bananasutra/04-so-woken-growsutra-kindness-acoustic-gipsy-dream-world-jazz-4,No,2237857106,🍷🚬✨,https://soundcloud.com/user-457271603/sets/cdyiknyz8zgb,PUNZ,https://soundcloud.com/user-457271603,2026-05-16T00:39:18Z,2026-07-11T01:53:51Z,11,2521175,1,0,108,2026-07-11,direct_api
2355493496,[06] So Woken • GROWsutra (Kindness) Acoustic NeoSoul Piano Blues Indie JAZZ,https://soundcloud.com/bananasutra/06-so-woken-growsutra-kindness-acoustic-neosoul-piano-blues-indie-jazz-6,No,2264974898,☮️🌙,https://soundcloud.com/olivia-houghton-231702298/sets/foeuqabblkfd,Olivia Houghton,https://soundcloud.com/olivia-houghton-231702298,2026-07-08T16:34:35Z,2026-07-10T18:26:23Z,7,5140242,0,0,7,2026-07-11,direct_api
2355493496,[06] So Woken • GROWsutra (Kindness) Acoustic NeoSoul Piano Blues Indie JAZZ,https://soundcloud.com/bananasutra/06-so-woken-growsutra-kindness-acoustic-neosoul-piano-blues-indie-jazz-6,No,2067892050,Kafe,https://soundcloud.com/amir-jfri-803137786/sets/kafe,Amir Jfrii,https://soundcloud.com/amir-jfri-803137786,2025-08-18T13:10:47Z,2026-07-08T11:09:31Z,36,14163891,0,0,8,2026-07-11,direct_api
2354402372,[06] Can You Play Win-Win Games Or No • GROWsutra (Kindness Matters) Dubby Dub DUB,https://soundcloud.com/bananasutra/06-can-you-play-win-win-games-or-no-growsutra-kindness-matters-dubby-dub-dub-6,No,1441786780,Revo,https://soundcloud.com/josef-drstockinger/sets/revo,Josef,https://soundcloud.com/josef-drstockinger,2022-05-21T22:16:29Z,2026-07-08T18:40:01Z,157,49601234,0,0,173,2026-07-11,direct_api
2353813778,[04] But(t) Where Do Pigeons Go To Die • BOWsutra (Death Is Nothing) Queen Of Authentic Dubby FOLK,https://soundcloud.com/bananasutra/04-butt-where-do-pigeons-go-to-die-bowsutra-death-is-nothing-queen-of-authentic-questions-folk-4,No,1758281886,Spiritual Godo,https://soundcloud.com/josef-drstockinger/sets/spiritual-godo,Josef,https://soundcloud.com/josef-drstockinger,2024-01-17T20:43:01Z,2026-07-08T19:25:56Z,79,28553039,0,0,173,2026-07-11,direct_api
