case,track_id,track_title,ep_title,confirmed_lyrics_id,confirmed_title,confirmed_sutra,snapshot_at_confirmed_id_title,snapshot_at_confirmed_id_sutra,resolved_lyrics_id,resolved_title,resolved_sutra
title_edit,2343028361,[01] Serial Blowerrrs - QUACKsutra Tzigane Hip Hop Fusion Indie LOFI,Serial BLOWers ⭐︎ LoFi Burlesque Blues Vol. 02 EPx7,L-216,Serial Blowers Vol.2,BLOWsutra,Serial Blowers,BLOWsutra,L-216,Serial Blowers,BLOWsutra
title_edit,2343028364,[02] Serial Blowerrrs • BLOWsutra Tzigane Acoustic LOFI,Serial BLOWers ⭐︎ LoFi Burlesque Blues Vol. 02 EPx7,L-216,Serial Blowers Vol.2,BLOWsutra,Serial Blowers,BLOWsutra,L-216,Serial Blowers,BLOWsutra
title_edit,2343028367,[03] Serial Blowerrrs - QUACKsutra Tzigane Hip Hop Fusion Indie LOFI,Serial BLOWers ⭐︎ LoFi Burlesque Blues Vol. 02 EPx7,L-216,Serial Blowers Vol.2,BLOWsutra,Serial Blowers,BLOWsutra,L-216,Serial Blowers,BLOWsutra
title_edit,2331788303,[01] Broken Whole (Encore) • GROWsutra Psychedelick Destiny Banjo BLUES,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788312,[02] Broken Whole (Encore) • GROWsutra Psychedelick Destiny Banjo BLUES,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788342,[03] Broken Whole (Encore) • GROWsutra Psychedelick Destiny Banjo BLUES,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788306,[04] Broken Whole (Encore) • GROWsutra Psychedelick Destiny Banjo BLUES,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788333,[06] Broken Whole (Encore) • GROWsutra Psychedelick Destiny Banjo BLUES,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788309,[08] Broken Whole (Encore) • GROWsutra Kindness Is In The Depth Bluesy Banjo FOLK,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788300,[09] Broken Whole (Encore) • GROWsutra Queen of Authentic Dubby Banjo FOLK,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788321,[12] Broken Whole (Encore) • GROWsutra Psychedelick Poetry Bridges the DUB,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788330,[14] Broken Whole (Encore) • GROWsutra Psychedelick Poetry Bridges the DUB,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788345,[15] Broken Whole (Encore) • GROWsutra La Poesita Fado World Indie DUB,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
title_edit,2331788339,[16] Broken Whole (Encore) • GROWsutra La Poesita Fado World Indie DUB,Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,L-346,Broken Whole (Encore),GROWsutra,Broken Whole,GROWsutra,L-346,Broken Whole,GROWsutra
